superior	adjective		sʊˈpirijɚ	superi14.ogg	znakomity	of high quality : high or higher in quality —often + to	<i>superior</i> products/results
tedious	adjective		ˈtiːdijəs	tediou01.ogg	żmudny	boring and too slow or long	He made a <i>tedious</i> 45-minute speech.
therefore	adverb		ˈðeɚˌfoɚ	theref02.ogg	Dlatego	for that reason : because of that	The cell phone is thin and light and <i>therefore</i> very convenient to carry around.
through	preposition		ˈθruː	throug01.ogg	Poprzez	into one side and out the other side of (something)	He hit the nail <i>through</i> the wood.
throughout	preposition		θruˈaʊt	throug07.ogg	Na wskroś	in or to every part of (something)	The company has stores <i>throughout</i> the United States and Canada.
thus	adverb		ˈðʌs	thus0001.ogg	Zatem	in this way or manner : like this	The judge expressed it <i>thus</i>: &ldquo;Our obligation is to discover the truth.&rdquo;
towards	preposition		ˈtowɚd		w kierunku	in the direction of (something or someone)	The bus is heading <i>toward</i> town.
transient	adjective		ˈtrænzijənt		przejściowy	not lasting long	<i>transient</i> joys
vary	verb		ˈveri	vary0001.ogg	różnić się	to be different or to become different : change	The terrain <i>varies</i> as you climb higher.
versatile	adjective		ˈvɚsətl̟	versat02.ogg	wszechstronny	able to do many different things	She is a <i>versatile</i> athlete who participates in many different sports.
virtue	noun		ˈvɚtʃu	virtue01.ogg	cnota	morally good behavior or character	I urge you all to lead lives of <i>virtue</i>. [=to live virtuously]
volatile	adjective		ˈvɑːlətəl	volati01.ogg	lotny	likely to change in a very sudden or extreme way	The stock market can be very <i>volatile</i>.
whilst	conjunction		ˈwajəlst	whilst01.ogg	podczas	while	
within	preposition		wɪˈðɪn	within02.ogg	w	inside (a certain area or space)	They live <i>within</i> the city limits.
yield	verb		ˈjiːld	yield001.ogg	dawać	to produce or provide (something, such as a plant or crop)	The apple/peach trees <i>yielded</i> an abundant harvest.
acquaintance	noun		əˈkweɪntn̩s	acquai02.ogg	Znajomy	someone who is known but who is not a close friend	Is he an <i>acquaintance</i> of yours? [=have you met him?]
acquired	verb		əˈkwajɚ	acquir02.ogg	Nabyty	to get (something) : to come to own (something) : to come to have (something)	They're planning to <i>acquire</i> [=<i>buy</i>] a new home in the country.
adultery	noun		əˈdʌltəri	adulte10.ogg	Cudzołóstwo	sex between a married person and someone who is not that person's wife or husband	He found out that his wife had committed <i>adultery</i>.
affirmative	adjective		əˈfɚmətɪv	affirm05.ogg	Twierdzący	saying or showing that the answer is "yes" rather than "no"	She gave an <i>affirmative</i> answer, not a negative answer.
although	conjunction		ɑlˈðoʊ	althou01.ogg	Chociaż	despite the fact that : though—used to introduce a fact that makes another fact unusual or surprising	<i>Although</i> [=<i>while</i>, <i>even though</i>] he was hungry, he could not eat.
